SlNo,Institute
4185,Hitkarni College Of Engineering & Technology
,Bhabha Engineering Research Institute
4187,RKDF School Of Engineering
4189,Bagula Mukhi College Of Technology
4190,Shriram Institute Of Information Technology
4194,Shri Rgp Gujarati Professional Institute
4195,Kailash Chandra Bansal College Of Technology
4198,Priyatam Institute Of Technonlogy And Managment
4199,Sagar Institute Of Science Technology & Research
4200,Sagar Institute Of Science Technology & Engineering
4201,Sagar Institute Of Pharmacy & Technology
4202,Acropolis Institute Of Technology And Research
4203,Jawaharlal Institute Of Technology
4204,Shri Balaji Institute Of Technology & Management
4205,Maharana Pratap College Of Technology
4206,Bansal College Of Engineering
4207,Synergy Institute Of Technology
4208,Vidhyapeeth Institute Of Science & Technology
4209,School Of Management
4210,Shri Krishna Institute Of Technology & Management
4211,Hitkarini College Of Engineering & Technology
4212,Bhabha Engineering Research Institute
4213,Sanghvi Institute Of Management And Science
4214,RKDF Institute Of Science & Tchnology
4215,NRI Institute Of Technology & Management
4216,Sanghvi Institute Of Management And Science
4217,Thakral College Of Technology
4218,BVM College Of Technology & Management
4219,Govt. Geetanjali Girls P.G. College
4220,Medi-Caps Institute Of Techno - Management
4221,Rewa Institute Of Technology
4222,Medi-Caps Institute Of Technology & Management
4223,Shri Rgp Gujarati Professional Institute
4224,St. Aloysius Institute Of Technology
4225,New-Tech Institute Of Engineering & Technology
4226,GICTS College Of Professional Education
4227,Lakshmi Narain Academy Of Technology
4228,Matushri Ahiliya Devi Institute Of Mangaement And Research
4229,Malwa Institute Of Science & Technology
4230,Mahatma Gandhi Institute Of Engineering And Management
4231,Kailash Narayan Patidar College Of Science & Technology
4232,RBS Institute Of Education
4233,Technocrats Insttitute Of Technology
4234,Gwalior Engineering College
4235,Gargi Institute Of Science & Technology
4236,Oriental Institute Of Science & Technology
4237,Bharatiya Vidya Mandir College Of Mgnt.Edu.
4238,Guru Ramdas Khalsa Institute Of Science And Technology
4239,Technocrats Institute Of Technology
4240,Jabalpur Engineering College
4241,Swami Vivekanand Mahavidhyalya
4242,Gyan Sagar College Of Engineering
4243,Maharishi Centre For Educational Excellence
4244,Dhar Polytechnic College
4245,Govt Women'S Polytechnic College
4246,Government Polytechnic College Barwani
4247,V.M. Government Polytechnic College Narsinghpur
4248,Shriram College Of Engineering & Management
4249,Saraswati Institute Of Engineering And Technology
4250,S.V.Polytechnic College
4251,Mandsaur Institute Of Technology
4252,Shri Ram Institute Of Technology
4253,Malwa Institute Of Tecnology And Management
4254,Paramhans Institute Of Education
4255,Peoples Institute Of Management And Research
4256,Madhya Pradesh Council Of Science And Technology
4257,Indore Institute Of Computer Application
4258,Samrat Ashok Technological Institute Polytechnic College
4259,Government Polytechnic College Ashoknagar
4260,S.R.Govt. Polytechnic College
4261,Oriental Insitute Of Science And Technology
4262,Ramnath Singh Institute Of Technology And Science
4264,Maa Kaila Devi Institute Of Information Technology & Management
4265,Rajeev Gandhi Proudyogiki Mahavididyalaya
4267,S.G.B.M. Institute Of Technology & Science
4268,Bagulamukhi College Of Architecture & Planning
4269,Swami Vivekanand Group Of Colleges
4271,MJP Government Polytechnic College
4272,Shri Guru Sandipani Institute Of Technology & Science
4273,Government Polytechnic College Balaghat
4274,Bansal Institute Of Research And Technology
4275,Bhopal Institute Of Technology & Management
4276,Government Women'S Polytechnic College Bhopal
4277,Govt.Womens Polytechnic College
4278,Global Institute Of Engg. And Science
4279,Institute Of Engineering & Technology
4280,Sri Aurobindo Institute Of Management & Science
4281,Govt Polytechnic College Shahdol
4282,Vindhya Institute Of Technology & Science
4283,CRIM
4284,Kalaniketan Polytechnic College Jabalpur
4285,Radhaswami Institute Of Technology
4286,Shri Yogindra Sagar Institute Of Technology & Science
4288,Shri Ram Institute Of Technology
4289,Nalin Institute Of Technology
4290,Prakash Institute Of Engineering & Technology Jabalpur
4291,Gyanodaya Institute Of Management & Technology
4292,IMT Group Of Institutions
4293,Government Women'S Polytechnic College Jabalpur
4294,Guru Ramdas Khalsa Institute Of Science & Technology
4295,Govt Polytechnic College Damoh
4296,Shree Sai Institute Of Technology
4297,Bansal Mba College
4298,Shri Ram College Of Technology
4299,Kamla Kant Institute Of Technology & Management
4300,Globus Engineering College
4301,Bhopal Institute Of Technology
4302,Rajiv Gandhi Vocational Education & Training College
4303,Bhopal Institute Of Technology & Science
4304,Vaishnavi Institutes Of Technology And Science
4305,Aditya College Of Technology & Science
4306,Madhuban Institute Of Professional Studies
4307,Govt. Polytechnic College Hoshangabad
4308,Lakshmi Narain College Of Technology & Management
4310,Star Academy Of Technology & Management
4311,Government Polytechnic College Betul
4312,Jain College
4313,Oriental Institute Of Science And Technology
4314,Thakur Shivkumarsingh Memorial Engineering College
4315,Laxmipati Institute Oe Science & Technology
4316,Institute Of Engineering Jiwaji University
4317,Patel Institute Of Engineering & Science
4318,Shri Ramnathsingh Siksha Sansthan
4319,Ch.Dilip Singh Institute Of Engineering And Technology
4320,Institute Of Computer Science
4321,Sri Parashuram Institute Of Technology And Research
4322,Maran Institute Of Science & Technology
4323,Hindustan Institute Of Technology Science & Management
4324,Teerath Institute Of Science & Technology
4325,Oxford College Of Engineering And Management
4327,Royal College Of Pharmacy And Health Sciences
4328,Sundargarh Engineering College
4329,Nalanda Institute Of Technology
4330,Gandhi Engineering College
4331,C.V.Raman College Of Engineering
4332,Ghanashyam Hemalata Institute Of Technology & Management
4333,Nm Institute Of Engineering & Technology
4334,Silicon Institute Of Technology
4335,The Techno School
4337,Bhadrak Institute Of Engineering & Technology
4338,Subas Institute Of Technology
4339,Centre For It Education
4340,Jagannath Institute For Technology And Management
4341,Orissa Engineering College
4342,Black Diamond College Of Engineering & Technology
4343,Gandhi Institute Of Science And Technology
4344,Gandhi Institute Of Engineering And Technology
4345,Seemanta Engineering College
4346,Vijayanjali Institute Of Technology
4347,Spintronic Technology And Advance Research
4348,Puri Engineering School
4349,Black Diamond School Of Engineering
4350,Barrister Ranjit Mohanty International Institute Of Technology
4351,Gurukula Institute Of Technology
4352,Biju Patnaik Institute Of Information Technology And Management Studies
4353,Trident Academy Of Technology
4354,BRM Institute Of Management And Information Technology
4355,Ramarani Institute Of Technology
4357,Institute Of Advanced Computer & Research
4358,Majhighariani Institute Of Technology And Science
4359,Gandhi Institute For Technological Advancement
4360,Bhavan'S Centre For Communication And Management
4361,Vignan Institute Of Technology And Management
4362,Sanjay Memorial Institute Of Technology
4363,Aryan Institute Of Engineering & Technology
4364,Padmanava College Of Engineering
4365,Kalam Institute Of Technology
4367,Konark Institute Of Science And Technology
4368,Presidency College Berhampur
4369,Synergy Institute Of Technology
4370,Synergy Institute Of Engineering & Technology
4371,Ajay Binay Institute Of Technology
4372,Centurion Institute Of Technology
4373,Gandhi Institute Of Computer Studies
4374,Purushottam Institute Of Engineering & Technology
4375,Dr. Ambedkar Memorial Institute Of Information Technology & Management Science
4376,Modern Engineering & Management Studies
4377,Gandhi Institute For Technology
4378,Koustuv Institute Of Technology
4379,Rajdhani College Of Engineering And Management
4380,Institute Of Management And Information Technology
4381,Institute Of Management & Information Science
4382,Institute Of Pharmacy & Technology
4383,Bhubaneswar Engineering College
4384,Radhakrishna Institute Of Engineering And Technology
4385,Jagannath Institute Of Engineering & Technology
4387,S.M.Institute Of Technoloy
4388,Koustuv Institute Of Self Domain
4389,College Of Engineering Bhubaneswar
4390,Satyasai Engineering College
4391,Gangadhar Meher College
4392,Gandhi Institute Of Industrial Technology
4393,Padmashree Krutartha Acharya College Of Engineering
4394,Srinix College Of Engineering
4395,Vikash College Of Engineering
4396,Templecity Institute Of Technology & Engineering
4397,Koustuv School Of Engineering
4398,Asian Workers Development Institute
4399,Adarsha College Of Engineering
4400,Shibani Institute Of Technical Education
4401,Bhubaneswar Institute Of Industrial Technology
4402,Balaji Institute Of Technology & Science
4403,Academy Of Management & Information Technology
4405,MITS School Of Engineering
4406,Orissa Computer Academy
4407,Raajdhani Engineering College
4408,Gurukula Engineering School
4409,Gurukula College Of Engineering For Women
4410,Bhubaneswar Institute Of Technology
4411,Indic Institute Of Design And Research
4412,Hi-Tech College Of Engineering
4413,Maharaja Polytechnic
4414,Gandhi Institute For Education & Technology
4415,Rourkela Institute Of Technology
4417,Rayagada Institute Of Technology And Management
4418,Utkal Institute Of Engineering And Technology
4419,Vedang Institute Of Technology
4420,C.V. Raman Polytechnic
4421,Balasore School Of Engineering
4422,Suddhananda Residential Polytechnic
4423,Mayurbhanj School Of Engineering
4424,Mahamaya Institute Of Medical & Technical Science
4425,Purna Chandra Institute Of Engineering & Technology
4426,Jhadeswar Institute Of Engineering & Technology
4427,Maharaja Institute Of Technology
4428,Balasore College Of Engineering And Technology
4429,Gandhi School Of Engineering
4430,Gangadhar Meher College
4431,Dhabaleswar Institute Of Polytechnic
4432,Capital Engineering College
4433,Gandhi Academy Of Technology And Engineering
4434,Trident Academy Of Creative Technology
4435,Nilachal Polytechnic
4436,Bhubaneswar Polytechnic
4437,Suddhananda Engineering And Research Centre
4438,Bhadrak Institute Of Engineering And Technology
4439,Suddhananda School Of Management And Computer Science
4440,MITS Institute Of Polytechnic
4441,SCS College
4442,National Institute Of Science & Technology
4443,Satyananda Institute Of Management & Kothapatna
4444,Barapada School Of Engineering & Technology
4445,Kushagra Institute Of Information & Management Science
4446,Samanta Chandrasekhar Institute Of Technology & Management
4447,Nayagarh Institute Of Engineering & Technology
4448,Nigam Insitute Of Engineering & Technology
4449,Central Tool Room & Training Centre
4450,Xavier Institute Of Technology
4451,Dhaneswar Rath Institute Of Engineering And Management Studies
4453,Eklavya College Of Technology & Science
4454,Sidhartha Institute Of Engineering & Technology
4455,Veer Surendra Sai University Of Technology
4458,Sophitorium Engineering College
4459,Purushottam School Of Engineering And Technology
4461,Krupajal Engineering School
4462,Orissa School Of Engineering
4463,Raja Kishore Chandra Academy Of Technology
4464,SSB Regional Institute Of Science & Technology
4465,Ganesh Institute Of Engineering & Technology
4466,Berhampur School Of Engineering & Technology
4467,Rahul Institute Of Engineering & Technology
4468,Apex Institute Of Technology & Management
4469,Mahavir Institute Of Engineering And Technology
4470,Pathani Samanta Institute Ofengineering & Technology
4471,Sushree Institute Of Technical Education
4472,Kalinga Institute Of Mining Engineering & Technology
4473,Capital Institute Of Management And Science
4475,Zenith Institute Of Science & Technology
4476,Ganapati Institute Of Engineering & Technology
4477,Sundargarh Engineering School
4478,Interscience Institute Of Management & Technology
4479,Swamivivekananda School Of Engineering & Technology
4480,Krupajal Engineering College
4481,Padmashree Krutartha Acharya Institute Of Engineering And Technology
4482,Aum Sai Institute Of Technical Education
4483,Jeypore School Of Engineering And Technology
4484,Kalinga Nagar Polytechnic
4485,Hi-Tech Institute Of Engineering & Management
4486,Badriprasad Institute Of Technology
4487,Indotech College Of Engineering
4488,Bhadrak Engineering School And Technology
4489,Gandhi Institute Of Technology And Management
4490,Bhubaneswar Institute Of Management & Informationtechnology
4491,Gayatri Institute Of Science And Technology
4492,Asian School Of Technology
4493,Indian Institute Of Science And Information Technology
